,id,description,price,address,date added,agent
2291,55826511,5 bedroom terraced house for sale,380000,"Landcross Road, Fallowfield",03/08/2018," by Callaghans, Heald Green"
2292,56944914,4 bedroom semi-detached house for sale,380000,"Fencegate Avenue, Heaton Chapel",02/10/2018," by John Mellor Independent Estate Agents, Heaton Moor, Stockport"
2293,56602509,3 bedroom terraced house for sale,380000,"Whalley Avenue, Chorlton",14/09/2018," by Jordan Fishwick, Chorlton"
2294,75015491,4 bedroom semi-detached house for sale,380000,"Victoria Road, Withington, Manchester, Uk, M14",29/08/2018," by Bridgfords, Withington"
2298,73487840,3 bedroom semi-detached house for sale,380000,"Newport Road, Chorlton, Manchester, M21 ",29/05/2018," by JP & Brimelow, Chorlton & Didsbury Sales"
2296,57119043,6 bedroom block of apartments for sale,380000,"Stockport Road, Levenshulme, M19",09/10/2018," by Lancashire Properties, Manchester"
2297,66723844,3 bedroom semi-detached house for sale,380000,"Hurstville Road, Chorlton, Manchester, M21 ",23/10/2018," by JP & Brimelow, Chorlton & Didsbury Sales"
2299,56639889,3 bedroom semi-detached house for sale,380000,"Hartley Avenue, Prestwich, Manchester, M25",24/07/2018," by Normie & Co, Whitefield"
2295,67989415,3 bedroom semi-detached house for sale,380000,"Hartley Avenue, Prestwich, Manchester",15/10/2018," by Jonathan Dines and Co, Manchester"
2348,65234645,3 bedroom apartment for sale,380248,"Unit 28.05 Greengate, Manchester, Greater Manchester, M3",15/03/2017, by Opulent
2347,56690829,3 bedroom town house for sale,382495,"Bridgewater Wharf Apartments, Ordsall Lane, Manchester, Greater Manchester, M5",19/09/2018, by Parker Buchanan Estates Ltd
2346,56346345,3 bedroom apartment for sale,383500,"8 The Corner, Broughton Park",31/08/2018," by Aubrey Lee & Co, Prestwich"
2345,65234885,3 bedroom apartment for sale,384418,"Unit 29.04 Greengate, Manchester, Greater Manchester, M3",15/03/2017," by Opulent, Liverpool"
2344,56170464,2 bedroom duplex for sale,384950,"Mason Street, Manchester, M4",17/08/2018, by Regency Residential
2343,67377958,3 bedroom terraced house for sale,385000,"Tenby Avenue, West Didsbury, Manchester",28/09/2018," by Philip James Kennedy, Didsbury"
2337,57462483,3 bedroom town house for sale,385000,"Ventnor Road, Heaton Moor",23/10/2018," by Julian Wadden, The Heatons"
2338,53737860,3 bedroom terraced house for sale,385000,"Tintern Avenue, West Didsbury, Manchester, M20 ",19/09/2018," by Jordan Fishwick, Didsbury"
2339,75345572,4 bedroom semi-detached house for sale,385000,"Stobart Avenue, Prestwich, Manchester",03/09/2018," by Clive Anthony Sales & Lettings, Prestwich"
